plate index,star index,x pixel,y pixel,lambda,beta,Hwmag,nphoton
0,26,198.9050486370493,1256.5729005743608,4.647315137606578,-0.09997983514176137,12.0,74789
0,85,844.9299768964821,1368.470453687126,4.648686397026536,-0.09985585496063303,12.0,74789
0,89,1293.7973209394665,834.5091737597023,4.649534794976328,-0.10105005413356921,12.0,74789
0,101,664.1863604258842,1340.4394221991215,4.6483033075664295,-0.09988368619173757,12.0,74789
0,130,1075.8027192146396,648.7621105643594,4.649046826844168,-0.10140163805923756,12.0,74789
0,148,1425.1407211901032,489.63579288651516,4.649750860294228,-0.10179430416637011,12.0,74789
0,150,413.7700404913357,1675.110890677475,4.64783627515346,-0.09914047256905559,12.0,74789
0,151,1435.7475414910573,718.6787551635312,4.649812141343972,-0.10131671399595342,12.0,74789
0,157,152.6190467573394,1522.0052214501848,4.647263547662569,-0.09941637265596233,12.0,74789
0,194,411.3422982686755,190.00374249000566,4.647577797889837,-0.10224847211729823,12.0,74789
0,204,577.5619763927368,1361.456926334683,4.648125583904636,-0.0998249151057757,12.0,74789
0,223,1624.614597937369,483.3770950776352,4.65016730258261,-0.101841439133936,12.0,74789
0,282,1819.379058766958,660.448936499215,4.65060516850129,-0.10150404930691327,12.0,74789
0,300,1254.5259184135575,1077.9670243816709,4.649494137602073,-0.10053378232804706,12.0,74789
0,306,1471.390733671741,1736.2717185327406,4.650060370998851,-0.09919291561741335,12.0,74789
0,370,455.87645348764534,439.6768246334442,4.647713610789036,-0.10173349077095256,12.0,74789
0,398,1704.789710651411,1477.5599673124664,4.650504745743355,-0.09977423765100771,12.0,74789
0,427,877.1984409397792,1412.1187730421284,4.648761384236663,-0.09977000233894073,12.0,74789
0,431,323.9200948398924,905.4290846350082,4.647516887428623,-0.10073612977893373,12.0,74789
0,447,607.3183118798046,489.42376954249033,4.648039075271617,-0.10165520729547618,12.0,74789
0,490,140.10438392925857,1395.037495088196,4.647215689939426,-0.09967998802342215,12.0,74789
0,510,1174.0230176379614,1485.73108550231,4.649395215042173,-0.09966657316380924,12.0,74789
0,538,1720.6018088702479,168.8675367914281,4.650314546200155,-0.10251610332121149,12.0,74789
0,567,1730.0986166719701,1301.953623230974,4.650527755956148,-0.10014611004597677,12.0,74789
0,574,139.82441909576102,638.9365001888422,4.647086094502911,-0.10126250266770918,12.0,74789
0,591,1040.7065849085152,1741.9105225744406,4.6491598866834645,-0.09910762795515032,12.0,74789
0,625,1466.8778552027843,1561.5953436186485,4.650021121195151,-0.09955775320297806,12.0,74789
0,640,626.7759635989564,639.2585165191133,4.648105366742628,-0.10134491459739908,12.0,74789
0,665,848.1298845939734,1595.6209780535107,4.6487318520901395,-0.09938096196872587,12.0,74789
0,683,1426.9509420474528,1099.723926306362,4.6498587452528986,-0.10051766385034536,12.0,74789
0,741,1674.1361930488138,1190.9423953521166,4.650391682168667,-0.10036891429579581,12.0,74789
0,747,717.612632110035,1801.1870090525285,4.6484937466811935,-0.09892843110856396,12.0,74789
0,751,1266.818032647686,416.56555420214744,4.649407014314121,-0.10192023058396858,12.0,74789
0,752,805.9023749369217,1269.981082162402,4.648587905321719,-0.1000553397501832,12.0,74789
0,756,216.8244722014552,1597.329628909183,4.647410785471373,-0.09926966941142756,12.0,74789
0,759,1496.695739913724,808.521447512928,4.649955038768266,-0.10113906739172271,12.0,74789
0,774,394.98821372608154,1091.3841088032598,4.647697365553657,-0.10035904130201424,12.0,74789
0,779,511.1622514658645,1322.7962969299922,4.647980009045781,-0.09989450457470908,12.0,74789
0,792,1741.8939634170558,318.2493867837341,4.650384600114608,-0.10220707157366792,12.0,74789
0,802,583.21932076815,791.5722403012807,4.648040188683413,-0.1010186814689527,12.0,74789
0,842,1000.99680792037,173.75813385515238,4.648809206435676,-0.1023830846845865,12.0,74789
0,846,1066.0191900102932,517.933391951672,4.649004026758749,-0.10167380070188317,12.0,74789
0,866,1601.6516105183298,467.51284706475917,4.650116532911601,-0.10187072585660215,12.0,74789
0,896,493.9194558982079,1507.1701709729487,4.6479753776177954,-0.09950565751768675,12.0,74789
0,900,1361.3320119542097,848.0281535335461,4.649678455599076,-0.1010332812213341,12.0,74789
0,930,643.8855687711373,1322.9378171824367,4.648257830649228,-0.09991685423197039,12.0,74789
0,960,1082.632180873233,1635.2836837314458,4.6492294461767045,-0.09933795753653712,12.0,74789
0,997,206.56055277774396,579.2897678299247,4.64721559982699,-0.10139873350138887,12.0,74789
