1.000000000000000000e+01 5.068354567476967068e-03 3.510710980868269639e-05 4.968535703883230834e-03 3.076872776279897947e-05
1.050000000000000000e+01 5.304494943088261007e-03 4.260516663769361659e-05 5.254593324612821977e-03 2.438636221938906198e-05
1.100000000000000000e+01 5.573229307232172719e-03 7.543117316528127122e-05 5.539246074960943109e-03 3.519354599277891562e-05
1.150000000000000000e+01 6.095271378795241030e-03 3.935110521593224278e-05 5.996272085568485864e-03 6.852473107469959457e-05
1.200000000000000000e+01 6.881424809878771386e-03 8.566265529691264691e-05 6.798344166842431799e-03 8.560186615536322173e-05
1.250000000000000000e+01 8.084949554872166572e-03 2.575944943873337319e-05 7.959384907160268682e-03 9.135576685490366959e-05
1.300000000000000000e+01 9.949200813161739390e-03 9.196485856482767424e-05 9.701362285350638784e-03 7.642134692691782269e-05
1.350000000000000000e+01 1.231624704135576495e-02 1.570252548179271298e-04 1.227679743738183810e-02 1.346702296233107999e-04
1.400000000000000000e+01 1.674467112138730215e-02 1.756334675249574863e-04 1.608141189775937410e-02 1.337130139250136609e-04
1.450000000000000000e+01 2.299002307177792914e-02 2.611506350420742971e-04 2.272812063522487713e-02 2.308249332686294214e-04
