2.080434502185223369e-02 2.070186285055573144e-02 1.370684280153469138e-02
1.984415298977926581e-02 2.272603946434115230e-02 1.422479229990048985e-02
1.993801574121794803e-02 2.035383875774391532e-02 1.360739314120466316e-02
2.055016676391955774e-02 2.176063837359012293e-02 1.378209339034796449e-02
2.163295481926645267e-02 2.130189633611269395e-02 1.418644337036438843e-02
2.085782453570874176e-02 1.975251204013792408e-02 1.394955675754635561e-02
2.197392469351346772e-02 2.157871312328363961e-02 1.455201684253812182e-02
2.239647455625163111e-02 2.129861269433988916e-02 1.423494173784302028e-02
2.310806875588599860e-02 2.110118926743413670e-02 1.407988229565189896e-02
2.065984023636244574e-02 2.087833004623772248e-02 1.390069650178044937e-02
2.122535374116234566e-02 2.065740101230334122e-02 1.412073015479640460e-02
