1.965763288146333415e-02 2.065044433739268367e-02
2.350219138987430859e-02 2.198774893593677393e-02
2.113101252731204929e-02 2.165661485270091099e-02
2.264146393395592705e-02 2.198557052158063921e-02
2.213940150655930098e-02 2.092434441076811494e-02
2.181921507919359904e-02 2.141723613798368966e-02
2.144895970945771141e-02 2.319005457099274775e-02
2.363292600520277079e-02 2.316875615717846337e-02
2.239757994666541352e-02 2.193498058252812272e-02
2.194151574212072422e-02 2.322207810112348822e-02
2.071880919070772167e-02 2.198045901925599691e-02
