plate index,star index,x pixel,y pixel,lambda,beta,Hwmag
0,0,548.1672749194092,496.8260659582023,0.0,0.0,15.25159664197428
0,1,1334.7035242517395,1007.0500486441612,0.0,0.0,18.98683372877568
0,2,1239.7872373727591,1526.041162758057,0.0,0.0,15.385005781116678
0,3,1606.7082203194855,1800.9456678844713,0.0,0.0,17.94947525488397
0,4,1250.0492648120858,1461.4710152199143,0.0,0.0,17.67995154991168
0,5,746.421130831365,1699.9160431593377,0.0,0.0,17.84447287623668
0,6,1790.5796290454257,534.6744106187857,0.0,0.0,17.94420444587728
0,7,723.5562276795849,988.9928512574381,0.0,0.0,15.71736099842117
0,8,1027.6540240681206,1632.8045672611252,0.0,0.0,17.27746659990548
0,9,541.5921748973904,466.75052820130634,0.0,0.0,18.86352534345357
0,10,1248.5872823048257,1338.326574618884,0.0,0.0,17.332388091400478
0,11,1341.3736687241792,1593.864179447193,0.0,0.0,16.14895330825757
0,12,519.1276029192551,880.7744484631176,0.0,0.0,18.82110097396288
0,13,247.52627472412792,169.11157036206168,0.0,0.0,18.173770671727173
0,14,1307.217052049888,1288.7585267747506,0.0,0.0,18.81738245533237
0,15,1069.0331575426349,550.4811840368943,0.0,0.0,19.78306671198208
0,16,1584.196685708905,923.6462183870011,0.0,0.0,17.77572881573328
0,17,1738.5933599510033,1181.6723880071095,0.0,0.0,17.07263952065088
0,18,579.8722682162802,1595.1381398887966,0.0,0.0,16.895284039619973
0,19,1161.5798673938802,610.2751550555801,0.0,0.0,18.76148903374068
0,20,1712.2076607275521,1079.3788216621228,0.0,0.0,17.93870065866708
0,21,1691.6610225655372,1731.1780966185654,0.0,0.0,17.56087693263877
0,22,165.42950176162663,1292.595204041447,0.0,0.0,19.65373644127988
0,23,1347.3402684406058,1562.8977855254009,0.0,0.0,14.25921179637908
0,24,373.95520043599606,609.4943921031157,0.0,0.0,17.855503806830882
0,25,1161.3125906873195,1006.1531671992788,0.0,0.0,15.89575584770128
0,26,1725.368807670041,953.6550698503995,0.0,0.0,17.87172869241428
0,27,444.40314825544294,1118.2274898302305,0.0,0.0,17.74602719146597
0,28,673.9496547328217,1751.8682419375527,0.0,0.0,17.797655352797573
0,29,849.3182531204731,1536.6211646153647,0.0,0.0,18.37324672320917
0,30,1572.8890994348649,203.38494617219487,0.0,0.0,18.54984029635828
0,31,1202.823127413559,323.29976091687865,0.0,0.0,18.42026515984448
0,32,1334.0146676186293,982.0143538005693,0.0,0.0,18.28645769513268
0,33,376.35797290674475,661.9446277196173,0.0,0.0,16.016375678614278
0,34,1028.9143457524015,341.5456083243422,0.0,0.0,17.740204057609972
0,35,1437.2128722672119,1097.6759308147125,0.0,0.0,17.71129788260148
0,36,138.3605940927581,369.55093812112136,0.0,0.0,16.07608945565248
0,37,921.2285312727832,1591.1671892464337,0.0,0.0,12.578122020314767
0,38,1095.1215469871288,319.0446164978997,0.0,0.0,18.90713461302868
0,39,341.08465803757474,744.8456630744124,0.0,0.0,17.90253715251037
0,40,1767.4807392242833,1791.2455605335579,0.0,0.0,18.77830858313317
0,41,1704.7293657760606,1398.0081956301815,0.0,0.0,15.25317657029797
0,42,309.93770006657405,428.8615551034602,0.0,0.0,19.29369789521588
0,43,1772.9650710936594,793.4358888319969,0.0,0.0,16.88598685750608
0,44,1085.2526962688185,749.8769597865123,0.0,0.0,17.84887827229008
0,45,847.9329306895106,718.3112459355924,0.0,0.0,17.885579578216483
0,46,1472.3983422940048,466.19575122157244,0.0,0.0,16.14895330825757
0,47,1465.6674593699133,556.4678726298615,0.0,0.0,15.23140280834597
