1.000000000000000000e+01 5.101457424521243893e-03 3.664816688113103736e-05 4.890136997440620338e-03 2.568120015344398999e-05
1.050000000000000000e+01 5.247941776064368041e-03 2.081492316696975610e-05 5.110553351760410180e-03 5.193338155015948788e-05
1.100000000000000000e+01 5.667245011358113677e-03 4.693535048488864001e-05 5.482136237734042822e-03 5.645946978065123162e-05
1.150000000000000000e+01 6.039584127236591674e-03 4.915984060318234571e-05 5.928851326319359294e-03 6.815968111459018007e-05
1.200000000000000000e+01 6.907007386765071956e-03 6.848892007299799958e-05 6.764882249622949754e-03 6.306642817948204609e-05
1.250000000000000000e+01 8.160893104497080053e-03 9.975104518163878603e-05 7.990997314365456961e-03 6.921098984137120469e-05
1.300000000000000000e+01 9.696377636300440236e-03 9.506003639919283806e-05 9.854689170691065259e-03 1.113451149629348953e-04
1.350000000000000000e+01 1.229091188804255948e-02 1.370694293943534869e-04 1.243595931396121457e-02 1.510939325390142553e-04
1.400000000000000000e+01 1.662348366448416007e-02 2.323035305610945717e-04 1.667051640110306723e-02 1.107677587612927066e-04
1.450000000000000000e+01 2.292010400579998913e-02 3.344012467137744767e-04 2.232588269730572880e-02 1.781691382652735467e-04
