1.477336387263804632e-02 1.549723747638956720e-02
1.586786533237251329e-02 1.510980958159556867e-02
1.429429125778912055e-02 1.470175036856614763e-02
1.552995066610937842e-02 1.541073830548473841e-02
1.525143020587693687e-02 1.474836866287257582e-02
1.509689237125780986e-02 1.491982743999839718e-02
1.494907005104222086e-02 1.526250238645425125e-02
1.474294796939398799e-02 1.624563833022319922e-02
1.419244682752401898e-02 1.459934141435488726e-02
1.417829332534698526e-02 1.545599190825732577e-02
1.410771747525883628e-02 1.544251691968700872e-02
