6.016476388381707639e-03 6.553995725567328401e-03 3.623783595827107049e-03
4.869112614371359435e-03 6.553983114987604712e-03 3.440082515630326319e-03
5.507269285354702074e-03 6.987224900237587813e-03 3.747247578685725632e-03
5.544806386923625298e-03 5.857823026503386141e-03 3.463424494729498357e-03
5.900869445608931257e-03 5.262746155894669139e-03 3.489911739490765118e-03
6.346982134760047016e-03 6.839012980244741496e-03 3.772697255355400223e-03
5.711180480794333762e-03 7.113271120180663168e-03 3.701648621648711765e-03
5.310829649856788591e-03 6.775552985138152268e-03 3.417114394476667653e-03
5.813602313339872457e-03 6.302231358608252620e-03 3.674814053387316908e-03
5.503635305090842991e-03 6.085879968296592848e-03 3.532616801699902352e-03
5.520795920652450325e-03 6.289666514511601039e-03 3.569547127176748470e-03
